English,Turkish
won,kazanmak
talk,konuşmak
away,uzak
than,hariç
thought,düşünce
home,Ev
night,gece
put,koymak
great,Harika
those,onlar
last,son
better,daha iyi
everything,her şey
told,söylenmiş
mr.,Bay
new,yeni
things,şeyler
always,Her zaman
keep,kale
long,uzun
years,yıllar
leave,ayrılmak
does,yapmak
money,para
around,etrafında
doesn,yapmaz
name,isim
place,yer
ever,durmadan
feel,hissetmek
guys,Çocuklar
father,baba
guy,adam
made,yapılmış
old,eskimiş
which,Hangi
big,büyük
lot,pay
done,Tamamlandı
hello,Merhaba
nice,Güzel
believe,inanmak
girl,kız
someone,birisi
fine,iyi
thanks,teşekkürler
wanted,aranan
kind,tür
coming,gelen
house,ev
every,Her
ok,Tamam
through,başından sonuna kadar
being,yapı
course,kurs
stay,kalmak
left,sol
dad,baba
enough,yeterli
happened,olmuş
came,gelmek
may,mayıs
mother,anne
wrong,yanlış
world,dünya
bad,kötü
might,belki
three,üç
today,Bugün
listen,Dinlemek
another,bir diğer
understand,anlamak
hear,duymak
remember,Unutma
ask,sormak
own,sahip olmak
same,Aynı
show,göstermek
else,başka
kill,öldürmek
talking,konuşuyor
found,kurmak
next,Sonraki
getting,edinme
care,bakım
car,araba
looking,bakıyor
son,oğul
try,denemek
woman,kadın
went,gitmiş
hi,MERHABA
dead,ölü
many,birçok
mind,akıl
wasn,öyleydi
friend,arkadaş
best,en iyi
mom,anne
hell,cehennem
morning,Sabah
trying,denemek
boy,erkek çocuk
together,birlikte
yourself,kendin
job,iş
saw,testere
family,aile
real,gerçek
without,olmadan
baby,Bebek
room,oda
wouldn,olur
already,çoktan
move,taşınmak
most,en
seen,görülen
live,canlı
miss,kayıp
actually,Aslında
huh,Ha
shit,bok
both,ikisi birden
heard,duyulmuş
once,bir kere
ready,hazır
head,KAFA
called,isminde
used,kullanılmış
idea,fikir
knew,biliyordum
hold,tutmak
happy,mutlu
door,kapı
such,çok
fuck,Kahretsin
brother,Erkek kardeş
also,Ayrıca
pretty,tatlı
bit,biraz
took,alınmış
haven,sığınak
yet,henüz
men,erkekler
whole,tüm
start,başlangıç
use,kullanmak
while,sırasında
since,o zamandan beri
wife,eş
days,günler
guess,tahmin etmek
tomorrow,Yarın
matter,konu
meet,tanışmak
bring,getirmek
tonight,bu akşam
everyone,herkes
run,koşmak
wanna,istiyorum
hard,zor
ah,Ah
alone,yalnız
myself,kendim
school,okul
gone,gitmiş
um,hım
end,son
saying,söyleyerek
phone,telefon
play,oynamak
looks,görünüyor
couldn,yapamadım
fucking,kahrolası
problem,sorun
few,bir kaç
friends,Arkadaşlar
gotta,lazım
ago,evvel
open,açık
anyone,herhangi biri
killed,öldürüldü
hope,umut
face,yüz
until,değin
lost,kayıp
police,polis
excuse,mazeret
turn,dönüş
business,işletme
case,dava
wants,istiyor
says,diyor
TRUE,DOĞRU
die,ölmek
heart,kalp
soon,yakında
each,her biri
worry,endişelenmek
later,Daha sonra
year,yıl
watch,kol saati
music,müzik
hand,el
having,sahip olmak
probably,muhtemelen
beautiful,Güzel
doctor,doktor
sit,oturmak
eat,yemek yemek
thinking,düşünme
young,genç
second,ikinci
working,çalışma
water,su
person,kişi
part,parça
kids,çocuklar
late,geç
stuff,şey
exactly,Kesinlikle
under,altında
death,ölüm
minute,dakika
pay,ödemek
crazy,deli
forget,unutmak
everybody,herkes
kid,çocuk
change,değiştirmek
gave,verilmiş
happen,olmak
damn,lanet etmek
five,beş
drink,içmek
far,uzak
knows,biliyor
its,onun
whatever,Her neyse
eyes,gözler
shut,kapat
aren,değil mi
hit,vurmak
taking,almak
easy,kolay
times,kez
check,kontrol etmek
hands,eller
minutes,dakika
deal,anlaşmak
different,farklı
means,araç
point,nokta
inside,içeri
makes,yapar
asked,sordu
somebody,birisi
mine,bana ait
making,yapma
body,vücut
afraid,korkmuş
sleep,uyumak
chance,şans
dear,Sayın
quite,epeyce
four,dört
anyway,Neyse
close,kapalı
ain,değil
party,parti
fun,eğlence
against,aykırı
word,kelime
comes,gelir
important,önemli
set,ayarlamak
shall,olacak
story,hikaye
number,sayı
daughter,kız çocuğu
least,en az
waiting,beklemek
hurt,acıtmak
wish,dilek
moment,an
fight,kavga
week,hafta
husband,koca
girls,kızlar
rest,dinlenmek
married,evli
fire,ateş
game,oyun
nobody,hiç kimse
mr,bay
children,çocuklar
side,taraf
stand,durmak
read,Okumak
though,Yine de
cut,kesmek
started,başladı
sister,kız kardeş
supposed,sözde
between,arasında
child,çocuk
goes,gitmek
hours,saat
speak,konuşmak
women,kadınlar
behind,arka
almost,neredeyse
truth,gerçek
blood,kan
able,hünerli
lady,bayan
anymore,artık değil
playing,oynuyor
gets,alır
shot,atış
reason,sebep
trouble,bela
break,kırmak
war,savaş
city,şehir
walk,yürümek
town,şehir
trust,güven
dr.,Dr.
met,tanıştım
office,ofis
question,soru
brought,getirilmiş
yours,senin
welcome,Hoş geldin
high,yüksek
wow,Vay
couple,çift
